speech_recognition,start,end,max_confidence,mean_confidence
speech,1257.25,1258.93,0.9611825346946716,0.9465847611427307
speech,1259.25,1262.61,1.0,1.0
speech,1263.25,1268.93,1.0,1.0
speech,1269.25,1280.61,0.7491032481193542,0.7185577154159546
speech,1281.25,1282.3,1.0,1.0
speech,1283.25,1290.3,1.0,1.0
speech,1291.25,1299.3,0.9999632835388184,0.9998049139976501
speech,1300.25,1305.3,0.9999939203262329,0.9997363090515137
speech,1314.25,1315.3,0.9298940896987915,0.9096556305885315
speech,1316.25,1332.3,0.928111732006073,0.9087295532226562
speech,1336.25,1346.3,0.9997186064720154,0.9982755184173584
speech,1346.57,1347.3,0.6659980416297913,0.6654708385467529
speech,1351.25,1363.3,0.9787660241127014,0.9630104303359985
speech,1365.25,1366.3,0.986064076423645,0.9704577922821045
speech,1366.57,1386.3,0.7080913186073303,0.6952725648880005
speech,1387.25,1405.3,0.9969221949577332,0.9837433695793152
speech,1410.25,1411.61,0.9853187799453735,0.9684262871742249
speech,1415.25,1419.3,0.9938228130340576,0.979377269744873
speech,1419.57,1425.3,0.6624016761779785,0.658242404460907
speech,1427.25,1437.3,1.0,1.0
speech,1438.25,1439.3,0.8876542448997498,0.8542747497558594
speech,1440.25,1450.3,1.0,1.0
speech,1451.25,1460.3,0.9229359030723572,0.8933967351913452
speech,1461.25,1476.3,1.0,1.0
speech,1487.25,1493.3,0.9962604641914368,0.9907144904136658
speech,1495.25,1501.3,0.9869764447212219,0.9624061584472656
speech,1508.25,1515.61,0.9009608626365662,0.8448213934898376
speech,1516.25,1527.3,1.0,1.0
speech,1534.25,1540.3,0.9250324964523315,0.900546133518219
speech,1541.25,1546.3,1.0,1.0
speech,1549.25,1554.3,0.9962760210037231,0.9865174889564514
non-speech,1555.25,1555.61,0.6010313034057617,0.6010314226150513
speech,1559.25,1559.93,0.6724189519882202,0.6622850298881531
speech,1560.25,1576.3,1.0,1.0
non-speech,1577.25,1577.61,0.6577432155609131,0.6577432751655579
speech,1578.25,1579.3,0.9950436353683472,0.9890109300613403
non-speech,1580.25,1580.61,0.6639292240142822,0.6639291644096375
speech,1582.25,1584.3,1.0,1.0
speech,1585.25,1598.61,1.0,1.0
speech,1599.25,1604.3,1.0,0.9999997019767761
speech,1605.25,1627.3,1.0,1.0
speech,1628.25,1630.61,1.0,1.0
speech,1631.25,1633.3,1.0,1.0
speech,1634.25,1640.3,0.6864604353904724,0.6567550897598267
speech,1644.25,1664.3,0.998508632183075,0.9952422380447388
speech,1669.25,1684.3,1.0,1.0
speech,1685.25,1701.3,0.8569265007972717,0.8271955847740173
speech,1703.25,1705.3,0.9615748524665833,0.940575122833252
speech,1709.25,1710.3,1.0,1.0
speech,1711.25,1715.3,1.0,1.0
speech,1716.25,1729.61,0.9999996423721313,0.9999893307685852
non-speech,1730.25,1730.61,0.6671570539474487,0.6671568155288696
speech,1731.25,1734.3,1.0,1.0
speech,1736.25,1740.3,0.9999997615814209,0.9999963641166687
speech,1741.25,1747.3,0.9704298377037048,0.9422050714492798
speech,1748.25,1776.3,0.9226034879684448,0.9052473306655884
speech,1777.25,1779.3,0.8307868838310242,0.7708341479301453
speech,1780.25,1783.3,1.0,1.0
speech,1784.25,1798.3,1.0,1.0
speech,1799.25,1806.3,0.9999997615814209,0.9999844431877136
speech,1807.25,1814.3,1.0,1.0
speech,1814.57,1815.3,0.6805044412612915,0.6695980429649353
speech,1818.25,1828.3,0.8147675395011902,0.7435420751571655
speech,1829.25,1834.3,1.0,0.9999907612800598
speech,1835.25,1841.3,0.9993996620178223,0.9974867105484009
speech,1842.25,1843.3,0.8652383089065552,0.82269287109375
speech,1844.25,1848.3,0.9916018843650818,0.9721553921699524
speech,1849.25,1852.3,0.8417345881462097,0.8191120624542236
speech,1858.25,1892.3,0.8898990750312805,0.8672903180122375
speech,1893.25,1903.3,0.9346500039100647,0.8945105075836182
speech,1906.25,1907.3,0.9993051290512085,0.9969517588615417
speech,1908.25,1912.3,0.9830410480499268,0.9662713408470154
speech,1919.25,1923.3,0.9657333493232727,0.9404079914093018
